City_ID,City,Max Temp,Current Description,Lat,Lng,Hotel Name
342,Bata,78.76,broken clouds,1.8639,9.7658,Hotel Elik Melen
343,Guararapes,75.81,broken clouds,-21.2608,-50.6428,Hotel Nacional Business
344,Matadi,75.92,overcast clouds,-5.8167,13.45,Hotel Vivi Palace
347,Axim,78.35,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
353,Pitimbu,81.19,scattered clouds,-7.4706,-34.8086,Reserva do Abiaí
354,Mount Gambier,83.26,overcast clouds,-37.8333,140.7667,The Commodore
358,Atambua,79.99,overcast clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
362,Iquitos,77.04,scattered clouds,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
366,Biak,76.41,moderate rain,-0.9131,122.8766,Penginapan Kim
369,Tecoanapa,78.91,scattered clouds,16.5167,-98.75,Hotel Manglares
373,Wahiawa,79.12,scattered clouds,21.5028,-158.0236,Aloha Wahiawa
376,Lazaro Cardenas,79.0,clear sky,17.9583,-102.2,Baymont by Wyndham Lazaro Cardenas
384,Luanda,76.12,overcast clouds,-8.8368,13.2343,Hotel Fórum
388,Acajutla,79.81,clear sky,13.5928,-89.8275,Laureles
393,Robertsport,79.02,clear sky,6.7533,-11.3686,Kwepunha Retreat
395,Sokoni,79.56,overcast clouds,-6.4333,39.55,Ujamaa Beach Resort
397,Marang,75.11,broken clouds,5.2056,103.2059,DBarakah Homestay
398,Port Lincoln,78.35,overcast clouds,-34.7333,135.8667,Port Lincoln Hotel
400,Bengkulu,79.07,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
401,Geraldton,79.21,clear sky,-28.7667,114.6,Broadwater Mariner Resort
402,Bang Saphan,75.15,scattered clouds,11.2126,99.5117,Ladawan Boutique Hotel
408,Pekan,77.11,scattered clouds,3.4836,103.3996,Pekan Budget Hotel
410,Qui Nhon,75.09,overcast clouds,13.7667,109.2333,Hoang Yen Canary Hotel
421,Fare,81.52,broken clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
423,Mahajanga,78.82,few clouds,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
424,Caucasia,79.84,clear sky,7.9865,-75.1935,Hotel San Rafael
426,Makakilo City,80.92,overcast clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
429,Becerril,82.67,overcast clouds,9.7041,-73.2793,Barrio El Carmen
434,Bintulu,75.61,moderate rain,3.1667,113.0333,900 Boutique INN
438,Kishi,78.28,scattered clouds,9.0833,3.85,New NCCF KISI
440,Bowen,83.86,few clouds,-20.0167,148.2333,Castle Motor Lodge Motel
448,Mataram,81.41,overcast clouds,-8.5833,116.1167,Hotel Santika Mataram
452,Touros,81.5,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
457,Pacific Grove,79.0,clear sky,36.6177,-121.9166,Lovers Point Inn
459,Bom Jardim,77.34,few clouds,-7.7958,-35.5872,Pousada do Posto Jose Breno
460,Dingle,81.46,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
